user_id,username,phone,user_type,vehicle_type,vehicle_model,registration_date,total_charge_count,total_charge_kwh,preferred_city_id
U00061,user_61,13892226014,出租车用户,出租车,比亚迪汉,2023-10-06,23,2607.51,3
U00062,user_62,13844717560,私家车用户,SUV,理想ONE,2023-07-08,190,4879.94,2
U00063,user_63,13886748821,网约车用户,出租车,理想ONE,2023-06-18,13,4016.7,7
U00064,user_64,13841905422,私家车用户,轿车,特斯拉Model 3,2024-01-07,154,3893.99,6
U00065,user_65,13814594924,网约车用户,SUV,小鹏P7,2023-04-20,16,1059.55,1
U00066,user_66,13860644075,出租车用户,轿车,比亚迪汉,2023-10-03,21,4883.32,1
U00067,user_67,13889261748,私家车用户,MPV,特斯拉Model 3,2023-11-13,2,4902.71,5
U00068,user_68,13875239195,出租车用户,MPV,理想ONE,2023-12-31,33,3513.28,2
U00069,user_69,13864287672,私家车用户,物流车,比亚迪汉,2023-01-25,150,3980.35,8
U00070,user_70,13816125753,出租车用户,SUV,理想ONE,2023-03-22,160,466.45,4
U00071,user_71,13845333307,出租车用户,物流车,小鹏P7,2024-09-15,166,2616.44,6
U00072,user_72,13883313149,网约车用户,MPV,蔚来ES6,2024-09-30,110,200.06,7
U00073,user_73,13849174421,私家车用户,SUV,小鹏P7,2024-10-04,127,487.03,1
U00074,user_74,13833366071,私家车用户,出租车,特斯拉Model 3,2024-04-10,80,848.59,5
U00075,user_75,13836452116,网约车用户,物流车,蔚来ES6,2023-12-28,22,355.67,8
U00076,user_76,13852268753,网约车用户,出租车,比亚迪汉,2023-05-07,145,2441.29,6
U00077,user_77,13856967568,物流车用户,物流车,比亚迪汉,2024-03-27,93,2562.4,6
U00078,user_78,13871222367,物流车用户,物流车,理想ONE,2023-09-27,174,213.38,1
U00079,user_79,13850111130,出租车用户,轿车,蔚来ES6,2024-01-20,40,2850.67,2
U00080,user_80,13846547360,物流车用户,轿车,蔚来ES6,2024-04-22,119,3212.42,8
U00081,user_81,13827872406,出租车用户,轿车,理想ONE,2024-03-19,51,2007.6,2
U00082,user_82,13861986610,物流车用户,SUV,理想ONE,2023-04-28,71,2272.89,3
U00083,user_83,13886993384,出租车用户,MPV,小鹏P7,2023-02-02,153,3871.03,1
U00084,user_84,13869228046,物流车用户,SUV,特斯拉Model 3,2023-08-05,5,4763.23,7
U00085,user_85,13854215129,出租车用户,轿车,比亚迪汉,2023-03-12,70,2025.34,5
U00086,user_86,13883967876,出租车用户,MPV,比亚迪汉,2023-02-25,23,4474.78,7
U00087,user_87,13866035864,出租车用户,SUV,蔚来ES6,2024-03-05,123,2377.5,3
U00088,user_88,13881566811,物流车用户,轿车,小鹏P7,2024-09-03,50,389.04,3
U00089,user_89,13863046185,私家车用户,SUV,理想ONE,2023-06-01,127,4321.51,2
U00090,user_90,13876585305,私家车用户,出租车,比亚迪汉,2024-10-11,115,3194.58,2
U00091,user_91,13815974581,出租车用户,出租车,小鹏P7,2023-06-20,153,1887.78,6
U00092,user_92,13844364131,私家车用户,MPV,蔚来ES6,2023-01-17,77,4483.27,2
U00093,user_93,13891778471,物流车用户,出租车,蔚来ES6,2023-12-27,138,2129.25,6
U00094,user_94,13828573880,物流车用户,出租车,蔚来ES6,2023-07-01,141,2974.46,7
U00095,user_95,13872515669,物流车用户,MPV,小鹏P7,2023-04-12,22,4029.7,2
U00096,user_96,13824681269,物流车用户,轿车,理想ONE,2024-09-30,139,498.51,8
U00097,user_97,13892471534,网约车用户,出租车,比亚迪汉,2023-08-17,198,2273.15,7
U00098,user_98,13828754204,物流车用户,轿车,蔚来ES6,2024-04-20,105,4539.97,7
U00099,user_99,13811247138,出租车用户,物流车,蔚来ES6,2023-10-02,168,1322.5,7
U00100,user_100,13849571068,物流车用户,轿车,特斯拉Model 3,2023-01-27,39,3952.55,6
U00101,user_101,13864903792,物流车用户,SUV,小鹏P7,2024-02-05,49,3081.34,7
U00102,user_102,13818458030,出租车用户,出租车,比亚迪汉,2024-02-17,81,2586.39,7
U00103,user_103,13847842631,出租车用户,物流车,特斯拉Model 3,2024-10-08,147,3921.41,5
U00104,user_104,13836056282,出租车用户,轿车,特斯拉Model 3,2023-01-27,111,57.69,3
U00105,user_105,13814559907,私家车用户,物流车,理想ONE,2023-01-26,190,3670.85,8
U00106,user_106,13868674056,出租车用户,SUV,蔚来ES6,2023-07-18,137,4202.28,7
U00107,user_107,13852671847,网约车用户,轿车,比亚迪汉,2024-10-04,5,3191.93,2
U00108,user_108,13828178522,私家车用户,轿车,比亚迪汉,2023-10-17,67,4473.02,2
U00109,user_109,13822679097,网约车用户,SUV,理想ONE,2023-04-14,125,3977.21,7
U00110,user_110,13822058971,私家车用户,SUV,理想ONE,2024-01-20,80,3167.76,8
U00111,user_111,13836393945,网约车用户,轿车,比亚迪汉,2024-11-06,145,3156.07,1
U00112,user_112,13829206616,网约车用户,出租车,小鹏P7,2024-09-06,139,25.07,5
U00113,user_113,13829924159,私家车用户,物流车,特斯拉Model 3,2024-06-14,131,3804.8,4
U00114,user_114,13869782880,出租车用户,轿车,蔚来ES6,2023-05-22,56,417.21,3
U00115,user_115,13853845483,物流车用户,SUV,特斯拉Model 3,2023-12-23,181,2757.49,5
U00116,user_116,13886529123,物流车用户,物流车,理想ONE,2023-07-17,64,864.8,5
U00117,user_117,13874362685,网约车用户,SUV,比亚迪汉,2024-05-14,110,4414.29,7
U00118,user_118,13854516222,私家车用户,物流车,理想ONE,2024-03-15,51,2835.71,6
U00119,user_119,13820528363,出租车用户,轿车,小鹏P7,2023-09-17,150,2049.04,6
U00120,user_120,13875251490,私家车用户,SUV,蔚来ES6,2024-03-15,47,1788.72,2
U00121,user_121,13845257089,网约车用户,SUV,蔚来ES6,2023-05-06,2,1592.95,1
U00122,user_122,13863884502,物流车用户,物流车,蔚来ES6,2023-08-27,143,331.18,5
U00123,user_123,13844769638,出租车用户,轿车,小鹏P7,2023-10-12,183,3039.52,2
U00124,user_124,13879098130,网约车用户,MPV,比亚迪汉,2023-07-21,12,4013.63,8
U00125,user_125,13817665496,物流车用户,轿车,特斯拉Model 3,2024-04-08,43,3007.15,7
U00126,user_126,13848731348,网约车用户,轿车,小鹏P7,2023-01-05,118,1421.83,7
U00127,user_127,13816069740,私家车用户,MPV,特斯拉Model 3,2023-03-13,120,475.6,7
U00128,user_128,13859315500,网约车用户,MPV,理想ONE,2023-03-23,142,3873.07,8
U00129,user_129,13817717444,网约车用户,出租车,理想ONE,2024-10-18,31,4215.38,2
U00130,user_130,13814794670,私家车用户,轿车,比亚迪汉,2023-04-18,82,4306.94,7
U00131,user_131,13847083788,私家车用户,SUV,蔚来ES6,2024-07-04,1,4670.55,1
U00132,user_132,13852541705,私家车用户,轿车,蔚来ES6,2023-03-18,67,1646.64,7
U00133,user_133,13854223790,出租车用户,物流车,理想ONE,2023-05-03,32,1596.66,3
U00134,user_134,13877718320,私家车用户,物流车,小鹏P7,2023-09-04,147,2389.63,8
U00135,user_135,13855966274,物流车用户,SUV,特斯拉Model 3,2023-09-28,196,1481.17,2
U00136,user_136,13867834971,出租车用户,轿车,特斯拉Model 3,2024-05-21,15,1062.38,4
U00137,user_137,13886707308,出租车用户,出租车,特斯拉Model 3,2023-12-15,53,4069.98,6
U00138,user_138,13861088438,出租车用户,物流车,特斯拉Model 3,2023-05-14,56,4583.49,7
U00139,user_139,13884129412,出租车用户,出租车,比亚迪汉,2023-03-12,71,2115.47,5
U00140,user_140,13826723413,物流车用户,轿车,特斯拉Model 3,2023-09-04,4,4470.49,3
U00141,user_141,13853701468,物流车用户,物流车,理想ONE,2023-12-27,67,591.63,2
U00142,user_142,13868068069,出租车用户,SUV,理想ONE,2024-05-29,110,2539.63,1
U00143,user_143,13882305466,网约车用户,轿车,特斯拉Model 3,2024-10-26,97,3660.01,7
U00144,user_144,13841775816,出租车用户,出租车,比亚迪汉,2024-08-31,70,2647.81,8
U00145,user_145,13894978103,私家车用户,轿车,比亚迪汉,2023-04-24,56,575.94,1
U00146,user_146,13853614911,私家车用户,物流车,特斯拉Model 3,2023-10-10,57,4413,7
U00147,user_147,13874217437,私家车用户,SUV,蔚来ES6,2024-05-22,52,855.15,4
U00148,user_148,13866955718,网约车用户,轿车,特斯拉Model 3,2023-07-09,128,4538.91,8
U00149,user_149,13860024909,出租车用户,MPV,特斯拉Model 3,2023-06-20,47,1660.78,8
U00150,user_150,13833231208,物流车用户,出租车,蔚来ES6,2023-01-22,45,4871.85,2
U00151,user_151,13837971159,网约车用户,出租车,小鹏P7,2023-01-02,125,4366.09,8
U00152,user_152,13827921740,私家车用户,物流车,蔚来ES6,2023-08-22,134,2515.73,3
U00153,user_153,13825382638,网约车用户,MPV,理想ONE,2024-05-17,188,1753.91,5
U00154,user_154,13889705153,网约车用户,出租车,特斯拉Model 3,2023-12-28,77,3550.79,8
U00155,user_155,13828475422,私家车用户,SUV,理想ONE,2023-08-14,168,4970.44,6
U00156,user_156,13891561506,出租车用户,物流车,理想ONE,2024-01-04,52,3721.83,4
U00157,user_157,13871892768,网约车用户,物流车,理想ONE,2024-06-23,44,1326.55,6
U00158,user_158,13864267406,物流车用户,MPV,蔚来ES6,2023-07-15,10,2897.58,6
U00159,user_159,13830148101,物流车用户,物流车,蔚来ES6,2023-10-23,28,4847.35,8
U00160,user_160,13834108640,出租车用户,物流车,蔚来ES6,2024-09-30,142,3321.6,5
U00161,user_161,13889765722,私家车用户,MPV,特斯拉Model 3,2024-04-09,10,1086.63,2
U00162,user_162,13818719001,网约车用户,轿车,理想ONE,2023-12-27,169,4170.55,1
U00163,user_163,13851193256,网约车用户,MPV,小鹏P7,2024-11-12,196,2803.75,2
U00164,user_164,13854343337,出租车用户,出租车,小鹏P7,2023-03-24,74,1094.29,8
U00165,user_165,13868105075,物流车用户,出租车,理想ONE,2023-04-11,66,4600.97,5
U00166,user_166,13838398140,网约车用户,物流车,比亚迪汉,2024-11-30,196,997.53,3
U00167,user_167,13878204268,网约车用户,MPV,特斯拉Model 3,2023-11-01,145,4635.59,8
U00168,user_168,13899424004,物流车用户,出租车,特斯拉Model 3,2023-05-22,134,2209.51,6
U00169,user_169,13892546858,物流车用户,MPV,理想ONE,2024-04-22,107,4807.23,8
U00170,user_170,13814531432,物流车用户,轿车,比亚迪汉,2024-09-21,77,3933.16,6
U00171,user_171,13830859900,网约车用户,轿车,理想ONE,2023-05-09,103,3350.4,8
U00172,user_172,13894878540,私家车用户,轿车,特斯拉Model 3,2023-10-04,166,535.24,2
U00173,user_173,13857608888,网约车用户,轿车,特斯拉Model 3,2024-08-21,172,2554.1,1
U00174,user_174,13843599458,出租车用户,物流车,理想ONE,2023-05-20,57,4475.26,3
U00175,user_175,13859296093,私家车用户,出租车,小鹏P7,2024-12-05,51,573.54,1
U00176,user_176,13835072983,私家车用户,SUV,比亚迪汉,2023-04-17,121,123.28,8
U00177,user_177,13874011911,私家车用户,MPV,理想ONE,2024-05-10,47,4101.35,5
U00178,user_178,13881943018,物流车用户,SUV,特斯拉Model 3,2023-07-09,36,4092.75,4
U00179,user_179,13837979380,出租车用户,出租车,理想ONE,2023-10-24,74,3337.68,8
U00180,user_180,13870185508,物流车用户,出租车,特斯拉Model 3,2024-04-20,106,4067.47,3
U00181,user_181,13814585643,物流车用户,轿车,小鹏P7,2024-02-03,2,2902.69,1
U00182,user_182,13882821698,网约车用户,SUV,理想ONE,2024-04-14,70,45.6,3
U00183,user_183,13868619202,出租车用户,MPV,小鹏P7,2024-02-04,131,313.83,3
U00184,user_184,13867646558,物流车用户,SUV,蔚来ES6,2024-11-05,77,4617.38,2
U00185,user_185,13889257168,物流车用户,物流车,比亚迪汉,2024-08-12,181,4637.06,5
U00186,user_186,13831206309,网约车用户,物流车,小鹏P7,2024-02-18,17,224.65,3
U00187,user_187,13847962581,私家车用户,出租车,理想ONE,2023-11-28,194,1157.67,4
U00188,user_188,13827273850,物流车用户,出租车,特斯拉Model 3,2023-03-05,156,1252.42,1
U00189,user_189,13821948234,网约车用户,物流车,特斯拉Model 3,2023-06-28,82,538.31,8
U00190,user_190,13871873182,出租车用户,SUV,蔚来ES6,2024-05-17,112,3394.25,4
U00191,user_191,13842963655,物流车用户,物流车,比亚迪汉,2023-03-30,149,121.22,2
U00192,user_192,13843341544,出租车用户,轿车,蔚来ES6,2024-02-22,145,2732.9,2
U00193,user_193,13865824036,物流车用户,SUV,比亚迪汉,2024-08-07,121,2504.25,6
U00194,user_194,13832582100,物流车用户,出租车,理想ONE,2023-03-14,145,390.72,5
U00195,user_195,13826532932,物流车用户,SUV,特斯拉Model 3,2024-09-07,138,1654.6,4
U00196,user_196,13857495118,物流车用户,MPV,特斯拉Model 3,2023-06-11,73,373.89,4
U00197,user_197,13894829192,网约车用户,出租车,小鹏P7,2023-02-28,139,3487.59,2
U00198,user_198,13887165309,私家车用户,轿车,蔚来ES6,2024-03-07,66,1002.56,1
U00199,user_199,13832824346,网约车用户,轿车,比亚迪汉,2024-05-20,18,4028.31,1
U00200,user_200,13866662159,物流车用户,物流车,小鹏P7,2023-03-24,141,2393.86,3
U00201,user_201,13854321683,私家车用户,轿车,理想ONE,2024-06-03,57,3251.68,7
U00202,user_202,13888245971,出租车用户,轿车,特斯拉Model 3,2023-01-27,198,3909.11,4
U00203,user_203,13897527215,私家车用户,物流车,理想ONE,2023-02-23,99,3828.41,3
U00204,user_204,13880407993,出租车用户,轿车,理想ONE,2023-05-01,157,4912.67,6
U00205,user_205,13867634172,网约车用户,出租车,特斯拉Model 3,2023-09-01,59,459.95,1
U00206,user_206,13847217767,私家车用户,轿车,比亚迪汉,2023-02-28,19,283.27,8
U00207,user_207,13839585630,私家车用户,MPV,蔚来ES6,2024-09-08,167,4452.12,5
U00208,user_208,13831257517,物流车用户,轿车,特斯拉Model 3,2023-03-20,64,4691.85,4
U00209,user_209,13891086848,出租车用户,出租车,蔚来ES6,2024-01-11,199,2757.03,4
U00210,user_210,13896315383,网约车用户,物流车,小鹏P7,2023-04-17,13,1733.18,7
U00211,user_211,13889665583,私家车用户,SUV,比亚迪汉,2024-06-17,59,1524.7,4
U00212,user_212,13830117101,出租车用户,轿车,比亚迪汉,2024-12-16,112,3249.54,8
U00213,user_213,13828711348,物流车用户,轿车,蔚来ES6,2023-10-12,150,1920.88,2
U00214,user_214,13819785572,物流车用户,出租车,特斯拉Model 3,2024-01-27,98,2220.1,4
U00215,user_215,13843707214,出租车用户,出租车,小鹏P7,2023-02-23,169,1525.74,6
U00216,user_216,13814256508,网约车用户,物流车,比亚迪汉,2023-01-29,87,3628.93,7
U00217,user_217,13880041935,私家车用户,物流车,理想ONE,2024-11-25,73,4292.57,8
U00218,user_218,13879449501,网约车用户,SUV,理想ONE,2024-04-23,190,4963.07,4
U00219,user_219,13831601248,网约车用户,MPV,特斯拉Model 3,2023-09-13,197,2714.02,6
U00220,user_220,13874651632,网约车用户,MPV,蔚来ES6,2024-11-06,64,3912.13,1
U00221,user_221,13830366028,网约车用户,MPV,比亚迪汉,2024-03-30,118,86.33,1
U00222,user_222,13886421606,网约车用户,出租车,小鹏P7,2023-08-12,104,292.92,2
U00223,user_223,13855296145,私家车用户,出租车,比亚迪汉,2023-09-22,196,3933.68,5
U00224,user_224,13891083084,出租车用户,SUV,比亚迪汉,2024-09-24,167,247.9,2
U00225,user_225,13816304018,物流车用户,物流车,蔚来ES6,2023-02-12,141,3586.79,1
U00226,user_226,13852445217,私家车用户,MPV,小鹏P7,2023-02-15,153,1173.48,2
U00227,user_227,13822699305,物流车用户,轿车,小鹏P7,2023-03-21,60,1020.21,6
U00228,user_228,13878152169,物流车用户,MPV,比亚迪汉,2023-01-26,83,3034.83,6
U00229,user_229,13864887686,网约车用户,出租车,蔚来ES6,2024-09-28,7,801.56,1
U00230,user_230,13857653458,私家车用户,轿车,小鹏P7,2023-08-05,80,2553.98,6
U00231,user_231,13845207206,私家车用户,SUV,理想ONE,2024-10-26,20,4775.9,4
U00232,user_232,13892499982,物流车用户,物流车,特斯拉Model 3,2024-06-24,13,3035.51,8
U00233,user_233,13861925410,出租车用户,物流车,蔚来ES6,2023-09-07,84,1215.37,6
U00234,user_234,13847828468,网约车用户,轿车,比亚迪汉,2024-03-31,187,4788.04,7
U00235,user_235,13869292305,网约车用户,物流车,小鹏P7,2023-03-20,92,3266.65,4
U00236,user_236,13883557862,出租车用户,物流车,比亚迪汉,2024-07-04,62,3882.24,7
U00237,user_237,13832635264,网约车用户,MPV,蔚来ES6,2023-05-01,20,2042.51,3
U00238,user_238,13890964245,出租车用户,出租车,特斯拉Model 3,2023-06-20,30,2093.13,8
U00239,user_239,13826543070,私家车用户,出租车,特斯拉Model 3,2024-12-07,42,4949.67,3
U00240,user_240,13894369672,物流车用户,出租车,蔚来ES6,2023-05-11,102,3484.64,4
U00241,user_241,13858062950,网约车用户,MPV,小鹏P7,2024-09-15,157,538.86,1
U00242,user_242,13822086815,物流车用户,出租车,理想ONE,2024-03-22,74,3788.3,3
U00243,user_243,13840059345,私家车用户,SUV,特斯拉Model 3,2024-08-30,151,1849.37,8
U00244,user_244,13872156250,物流车用户,SUV,小鹏P7,2024-08-25,71,4723.84,2
U00245,user_245,13848055871,物流车用户,MPV,特斯拉Model 3,2024-07-31,132,4486.51,7
U00246,user_246,13856736288,物流车用户,MPV,比亚迪汉,2023-05-27,10,4069.94,4
U00247,user_247,13880539505,网约车用户,物流车,小鹏P7,2023-11-18,25,1736.73,3
U00248,user_248,13829425716,网约车用户,出租车,理想ONE,2023-08-18,43,1442.39,5
U00249,user_249,13827384795,网约车用户,SUV,特斯拉Model 3,2023-07-31,141,4193.95,3
U00250,user_250,13814481651,出租车用户,轿车,理想ONE,2023-01-27,94,1015.7,7
U00251,user_251,13882889534,出租车用户,出租车,蔚来ES6,2023-04-23,183,3531.61,2
U00252,user_252,13882818082,物流车用户,MPV,特斯拉Model 3,2023-05-21,71,3658.17,2
U00253,user_253,13867952295,出租车用户,轿车,蔚来ES6,2023-06-10,129,1676.69,8
U00254,user_254,13894022213,网约车用户,轿车,理想ONE,2023-04-13,180,3970.99,6
U00255,user_255,13841191583,私家车用户,SUV,比亚迪汉,2024-08-23,96,4360.57,4
U00256,user_256,13842055346,物流车用户,SUV,理想ONE,2023-07-11,187,2483.63,3
U00257,user_257,13842532453,出租车用户,轿车,理想ONE,2023-03-10,125,2788.69,4
U00258,user_258,13839181635,物流车用户,MPV,小鹏P7,2024-01-25,161,2919.49,6
U00259,user_259,13889339691,出租车用户,MPV,比亚迪汉,2023-10-27,171,2425.3,7
U00260,user_260,13868519903,物流车用户,MPV,特斯拉Model 3,2023-08-13,28,4814.59,5
U00261,user_261,13878748326,网约车用户,SUV,理想ONE,2023-04-29,45,2323.68,6
U00262,user_262,13828606694,物流车用户,SUV,理想ONE,2024-05-15,153,2060.01,4
U00263,user_263,13814745766,网约车用户,物流车,比亚迪汉,2024-02-23,15,2811.29,6
U00264,user_264,13852866203,物流车用户,出租车,理想ONE,2024-03-11,102,1303.5,1
U00265,user_265,13853968954,出租车用户,MPV,特斯拉Model 3,2023-11-12,114,2049.06,3
U00266,user_266,13897824378,私家车用户,物流车,小鹏P7,2023-12-04,33,3024.81,1
U00267,user_267,13813457212,私家车用户,MPV,蔚来ES6,2024-07-20,16,3274.66,4
U00268,user_268,13869329773,出租车用户,SUV,小鹏P7,2024-02-10,183,1146.67,3
U00269,user_269,13871256431,物流车用户,SUV,小鹏P7,2023-09-12,3,180.37,1
U00270,user_270,13896272679,物流车用户,出租车,特斯拉Model 3,2023-06-10,72,1507.33,4
U00271,user_271,13850511553,网约车用户,轿车,理想ONE,2024-11-02,102,655.97,5
U00272,user_272,13823912253,私家车用户,物流车,理想ONE,2023-01-21,3,3713.26,3
U00273,user_273,13825657408,出租车用户,物流车,蔚来ES6,2023-11-28,108,2561.78,1
U00274,user_274,13859505490,物流车用户,SUV,特斯拉Model 3,2023-09-28,167,2881.01,7
U00275,user_275,13857718037,私家车用户,SUV,理想ONE,2024-07-28,71,2416.75,4
U00276,user_276,13872651282,物流车用户,出租车,蔚来ES6,2024-07-13,182,541.52,4
U00277,user_277,13814077510,出租车用户,出租车,蔚来ES6,2024-05-03,144,544.74,5
U00278,user_278,13864463355,私家车用户,轿车,小鹏P7,2023-06-23,53,4324.14,8
U00279,user_279,13850952374,出租车用户,出租车,小鹏P7,2024-04-29,133,3615.16,4
U00280,user_280,13819659084,网约车用户,出租车,蔚来ES6,2023-12-12,38,182.55,7
U00281,user_281,13810915393,出租车用户,物流车,理想ONE,2024-07-12,127,1565.08,4
U00282,user_282,13862728559,物流车用户,物流车,小鹏P7,2023-03-25,26,2128.51,2
U00283,user_283,13871553085,私家车用户,SUV,小鹏P7,2023-05-05,42,986.84,2
U00284,user_284,13816397949,物流车用户,SUV,小鹏P7,2024-05-13,35,3744.97,7
U00285,user_285,13875431151,网约车用户,轿车,理想ONE,2023-10-29,184,4609.85,5
U00286,user_286,13895606281,网约车用户,物流车,比亚迪汉,2023-05-25,74,2616.26,4
U00287,user_287,13870829509,网约车用户,出租车,理想ONE,2023-08-04,84,4635.4,3
U00288,user_288,13836909591,物流车用户,轿车,蔚来ES6,2024-03-02,45,751.75,2
U00289,user_289,13810916109,出租车用户,SUV,特斯拉Model 3,2024-07-04,117,1655.18,1
U00290,user_290,13886793563,私家车用户,MPV,小鹏P7,2023-08-20,88,3144.11,4
U00291,user_291,13854985656,物流车用户,物流车,蔚来ES6,2024-01-12,159,3834.94,5
U00292,user_292,13898644319,私家车用户,物流车,比亚迪汉,2023-04-16,187,1082.21,3
U00293,user_293,13853072676,出租车用户,物流车,小鹏P7,2024-10-22,196,1914.73,5
U00294,user_294,13887564429,出租车用户,轿车,比亚迪汉,2023-08-10,23,4647.74,3
U00295,user_295,13833483700,物流车用户,轿车,蔚来ES6,2023-03-21,13,684.87,8
U00296,user_296,13879698728,网约车用户,MPV,小鹏P7,2023-05-01,61,2800.73,7
U00297,user_297,13873168773,网约车用户,MPV,小鹏P7,2023-11-21,135,391,4
